,baseMean,log2FoldChange,lfcSE,pvalue,padj
WBGene00000001,1988.13336746571,-0.00786097349154199,0.0317793272791986,0.75740880099188,0.923076735297143
WBGene00000002,115.006039211994,0.0212260373525646,0.0551000989315117,0.197316779629039,0.530290662908511
WBGene00000003,129.180141777909,-0.00941995295960923,0.0502027960638657,0.557524884834606,0.828864986421882
WBGene00000004,631.010809726922,0.19845587584899,0.0794249300594912,0.00069869428032999,0.0133813070104838
WBGene00000005,239.816496286421,-0.000125496050216732,0.0474855346961469,0.993941111999103,0.998940677435666
WBGene00000006,149.014834079056,0.00518542298247371,0.0493097661209029,0.750069925692257,0.919601788949552
WBGene00000007,162.553944844444,-0.0357877445625457,0.0653694740676744,0.0747352176289343,0.318917622604384
WBGene00000009,19.4425106037667,-0.00289915372799354,0.0515408585353489,0.6736509745233,NA
WBGene00000010,1144.47477140282,-0.0075318616578188,0.0375146773357315,0.772069889719121,0.928385193020927
WBGene00000016,54.5633747758128,0.0033225385097475,0.0508495949235896,0.759156855855973,0.923104660095639
WBGene00000017,123.662779285801,0.0164683377980331,0.0525842098724192,0.313911215391772,0.657316837272859
WBGene00000018,937.688565544592,0.0560480537693015,0.0522370350595171,0.082702695862027,0.336538200021584
WBGene00000020,402.618055969418,0.00851024280166359,0.045130591510531,0.698006351633026,0.897527942078246
WBGene00000022,664.46657023708,0.0403434658426649,0.0516952258508172,0.20891262873299,0.545515689220647
WBGene00000023,37.0988351991012,0.00472264325375967,0.0514989775379615,0.573981334763,0.839400617041009
WBGene00000035,174.255604107376,0.0124396615348804,0.0501030498342121,0.493610666629867,0.794121632968319
WBGene00000036,226.342367545385,0.040444134431711,0.0663112446511236,0.0935765821695527,0.358188943277247
WBGene00000037,29.9300491692925,0.0143788295743078,0.054129464128604,0.0956707328021306,NA
WBGene00000039,148.671674124475,0.045416755002002,0.0775487746605727,0.0354872096074618,0.214147933118021
WBGene00000040,4514.39012729406,0.0197835921009013,0.0251611563881282,0.372025723662726,0.705891138031996
WBGene00000041,17188.9312663268,0.0767274087679119,0.0181125441607629,7.21118899746685e-06,0.000306557477721858
WBGene00000047,24.6285285722744,-0.0040219325813096,0.0516024516608657,0.575433132771408,NA
WBGene00000050,21.721228184924,-0.00737827823212437,0.052160048976034,0.299234996425577,NA
WBGene00000051,28.3361747312204,-0.00873800083400521,0.0523073881351565,0.282482441297808,NA
